Id,transcription,normalized_transcription
4587.wav,Help celebrate your brother's success,help celebrate your brothers success
4588.wav,sticks,sticks
4589.wav,rake,rake
4590.wav,He really crucified him he nailed it for a yard loss,he really crucified him he nailed it for a yard loss
4591.wav,beef,beef
4592.wav,spit,spit
4593.wav,sin,sin
4594.wav,lee,lee
4595.wav,stretch,stretch
4596.wav,geese,geese
4597.wav,So if anybody solicits by phone make sure you mail the dough to the above,so if anybody solicits by phone make sure you mail the dough to the above
4598.wav,Most young rise early every morning,most young rise early every morning
4599.wav,rock,rock
4600.wav,Get a calico cat to keep,get a calico cat to keep
4601.wav,shed,shed
4602.wav,We bought a brown chair,we bought a brown chair
4603.wav,Biblical scholars argue history,biblical scholars argue history
4604.wav,tea,tea
4605.wav,eat,eat
4606.wav,blend,blend
4607.wav,Her dark hair is combed casually,her dark hair is combed casually
4608.wav,gill,gill
4609.wav,Her classical performance gained critical acclaim,her classical performance gained critical acclaim
4610.wav,one,one
4611.wav,much,much
4612.wav,Whitecapped waves covered the entire bay,whitecapped waves covered the entire bay
4613.wav,There was only one decision to be made,there was only one decision to be made
4614.wav,victor,victor
4615.wav,sketch,sketch
4616.wav,tear ,tear 
4617.wav,cheer,cheer
4618.wav,He played basketball there while working toward a law degree,he played basketball there while working toward a law degree
4619.wav,shoot,shoot
4620.wav,two,two
4621.wav,night,night
4622.wav,red,red
4623.wav,meat,meat
4624.wav,walk,walk
4625.wav,nod,nod
4626.wav,bread,bread
4627.wav,seven,seven
4628.wav,Ned,ned
4629.wav,The fish swam across the pond,the fish swam across the pond
4630.wav,blend,blend
4631.wav,rip,rip
4632.wav,I'm willing to experiment for the first time,im willing to experiment for the first time
4633.wav,shot,shot
4634.wav,row,row
4635.wav,uniform,uniform
4636.wav,short,short
4637.wav,gash,gash
4638.wav,He took me out one day,he took me out one day
4639.wav,read,read
4640.wav,We selected places where families will be welcome,we selected places where families will be welcome
4641.wav,sheep,sheep
4642.wav,nice,nice
4643.wav,beam,beam
4644.wav,We have an excellent team,we have an excellent team
4645.wav,Only the most accomplished artists obtain popularity,only the most accomplished artists obtain popularity
4646.wav,She suggested we all have dinner together,she suggested we all have dinner together
4647.wav,leap,leap
4648.wav,The hotel owner shrugged,the hotel owner shrugged
4649.wav,That's what life is really all about,thats what life is really all about
4650.wav,tread,tread
4651.wav,I called two different painters,i called two different painters
4652.wav,sell,sell
4653.wav,whisky,whisky
4654.wav,Then we'd really have someplace to go,then wed really have someplace to go
4655.wav,He asked you for a loan,he asked you for a loan
4656.wav,I think I'm full of this stuff,i think im full of this stuff
4657.wav,sort,sort
4658.wav,bender,bender
4659.wav,him,him
4660.wav,shoot,shoot
4661.wav,You can ride stagecoach,you can ride stagecoach
4662.wav,Please open the window quickly,please open the window quickly
4663.wav,sew,sew
4664.wav,in,in
4665.wav,Those musicians harmonize marvelously,those musicians harmonize marvelously
4666.wav,dread,dread
4667.wav,fork,fork
4668.wav,Young people participate in athletic activities,young people participate in athletic activities
4669.wav,People who value themselves are life's winners,people who value themselves are lifes winners
4670.wav,bitter,bitter
4671.wav,Help Greg to pick a peck of potatoes,help greg to pick a peck of potatoes
4672.wav,Trespassers can be prosecuted and fined,trespassers can be prosecuted and fined
4673.wav,goat,goat
4674.wav,sin,sin
4675.wav,nest,nest
4676.wav,ray,ray
4677.wav,threat,threat
4678.wav,sicker,sicker
4679.wav,sheet,sheet
4680.wav,The owners regularly look for plumbing leaks,the owners regularly look for plumbing leaks
4681.wav,ticker,ticker
4682.wav,tug,tug
4683.wav,rake,rake
4684.wav,Each one volunteered to jump first,each one volunteered to jump first
4685.wav,snake,snake
4686.wav,dice,dice
4687.wav,nice,nice
4688.wav,shell,shell
4689.wav,I loved every minute of it,i loved every minute of it
4690.wav,rid,rid
4691.wav,right,right
4692.wav,forward,forward
4693.wav,geese,geese
4694.wav,lend,lend
4695.wav,Nobody really expects to evacuate,nobody really expects to evacuate
4696.wav,hand,hand
4697.wav,chip,chip
4698.wav,side,side
4699.wav,The pair of shoes was new,the pair of shoes was new
4700.wav,sink,sink
4701.wav,up,up
4702.wav,boot,boot
4703.wav,witch,witch
4704.wav,red,red
4705.wav,dill,dill
4706.wav,Who knows what you'll discover about yourself,who knows what youll discover about yourself
4707.wav,gas,gas
4708.wav,Did dad do academic bidding,did dad do academic bidding
4709.wav,shred,shred
4710.wav,sand,sand
4711.wav,zulu,zulu
4712.wav,knot,knot
4713.wav,The wait for work can be very long,the wait for work can be very long
4714.wav,up,up
4715.wav,tin,tin
4716.wav,uniform,uniform
4717.wav,bed,bed
4718.wav,This is a good place though small,this is a good place though small
4719.wav,bitter,bitter
4720.wav,left,left
4721.wav,It's fun to roast marshmallows on a gas burner,its fun to roast marshmallows on a gas burner
4722.wav,The prospect of cutting back spending is an unpleasant one for any governor,the prospect of cutting back spending is an unpleasant one for any governor
4723.wav,Help Greg to pick a peck of potatoes,help greg to pick a peck of potatoes
4724.wav,rock,rock
4725.wav,neat,neat
4726.wav,him,him
4727.wav,sip,sip
4728.wav,sierra,sierra
4729.wav,tango,tango
4730.wav,fork,fork
4731.wav,nest,nest
4732.wav,The pair of shoes was new,the pair of shoes was new
4733.wav,whisky,whisky
4734.wav,sell,sell
4735.wav,He took me out one day,he took me out one day
4736.wav,sit,sit
4737.wav,romeo,romeo
4738.wav,Each one volunteered to jump first,each one volunteered to jump first
4739.wav,He really crucified him he nailed it for a yard loss,he really crucified him he nailed it for a yard loss
4740.wav,Nobody really expects to evacuate,nobody really expects to evacuate
4741.wav,Please open the window quickly,please open the window quickly
4742.wav,You want him to do well,you want him to do well
4743.wav,lock,lock
4744.wav,Being able to dance can help too,being able to dance can help too
4745.wav,a,a
4746.wav,We have an excellent team,we have an excellent team
4747.wav,hand,hand
4748.wav,ship,ship
4749.wav,shell,shell
4750.wav,rest,rest
4751.wav,sheet,sheet
4752.wav,best,best
4753.wav,meat,meat
4754.wav,chip,chip
4755.wav,Then we'd really have someplace to go,then wed really have someplace to go
4756.wav,Although always alone we survive,although always alone we survive
4757.wav,two,two
4758.wav,slicker,slicker
4759.wav,dead,dead
4760.wav,one,one
4761.wav,rock,rock
4762.wav,nice,nice
4763.wav,glitter,glitter
4764.wav,ham,ham
4765.wav,spit,spit
4766.wav,nut,nut
4767.wav,sicker,sicker
4768.wav,ticker,ticker
4769.wav,Travel is about the only leisure we have,travel is about the only leisure we have
4770.wav,wicker,wicker
4771.wav,zip,zip
4772.wav,wit,wit
4773.wav,shoot,shoot
4774.wav,Ned,ned
4775.wav,sing,sing
4776.wav,People who value themselves are life's winners,people who value themselves are lifes winners
4777.wav,tread,tread
4778.wav,He is definitely a notch above us,he is definitely a notch above us
4779.wav,quicker,quicker
4780.wav,liquor,liquor
4781.wav,zulu,zulu
4782.wav,and,and
4783.wav,wicked,wicked
4784.wav,Those musicians harmonize marvelously,those musicians harmonize marvelously
4785.wav,You can ride stagecoach,you can ride stagecoach
4786.wav,red,red
4787.wav,Some hotels are available nearby,some hotels are available nearby
4788.wav,harp,harp
4789.wav,I tried to tell people in the community,i tried to tell people in the community
4790.wav,storm,storm
4791.wav,Mother sews yellow gingham aprons,mother sews yellow gingham aprons
4792.wav,The dolphins swam around our boat,the dolphins swam around our boat
4793.wav,seeds,seeds
4794.wav,toot,toot
4795.wav,It also provides for funds to clear slums and help colleges build dormitories,it also provides for funds to clear slums and help colleges build dormitories
4796.wav,Night after night they received annoying phone calls,night after night they received annoying phone calls
4797.wav,sigh,sigh
4798.wav,Their house is grey and white,their house is grey and white
4799.wav,up,up
4800.wav,It eventually became a rather proud claim,it eventually became a rather proud claim
4801.wav,light,light
4802.wav,swore,swore
4803.wav,Are your grades higher or lower than Nancy's,are your grades higher or lower than nancys
4804.wav,cart,cart
4805.wav,briar,briar
4806.wav,giving those who observe him a pronounced feeling of the utmost respect,giving those who observe him a pronounced feeling of the utmost respect
4807.wav,no,no
4808.wav,one,one
4809.wav,tear ,tear 
4810.wav,pile,pile
4811.wav,beta,beta
4812.wav,fitting,fitting
4813.wav,tear ,tear 
4814.wav,five,five
4815.wav,fate,fate
4816.wav,I looked up and noticed two old men,i looked up and noticed two old men
4817.wav,dot,dot
4818.wav,bad,bad
4819.wav,sergeant,sergeant
4820.wav,cycle,cycle
4821.wav,rock,rock
4822.wav,boot,boot
4823.wav,he dresses himself in an ancient black frock coat,he dresses himself in an ancient black frock coat
4824.wav,read ,read 
4825.wav,blow,blow
4826.wav,slip,slip
4827.wav,snoop,snoop
4828.wav,loyal,loyal
4829.wav,hark,hark
4830.wav,troop,troop
4831.wav,Two other cases also were under advisement,two other cases also were under advisement
4832.wav,witch,witch
4833.wav,pad,pad
4834.wav,we're,were
4835.wav,yes,yes
4836.wav,november,november
4837.wav,swarm,swarm
4838.wav,Except in the winter when the ooze or snow or ice prevents,except in the winter when the ooze or snow or ice prevents
4839.wav,raid,raid
4840.wav,beat,beat
4841.wav,The humidity is overwhelming there,the humidity is overwhelming there
4842.wav,They carried me off on the stretcher,they carried me off on the stretcher
4843.wav,usually minus several buttons,usually minus several buttons
4844.wav,floor,floor
4845.wav,kilo,kilo
4846.wav,rocks,rocks
4847.wav,for,for
4848.wav,leak,leak
4849.wav,bubble,bubble
4850.wav,pitting,pitting
4851.wav,car,car
4852.wav,rage,rage
4853.wav,error,error
4854.wav,fear,fear
4855.wav,spain,spain
4856.wav,She had your dark suit in greasy wash water all year,she had your dark suit in greasy wash water all year
4857.wav,We gathered shells on the beach,we gathered shells on the beach
4858.wav,sprinkle,sprinkle
4859.wav,fair,fair
4860.wav,jacket,jacket
4861.wav,The museum hires musicians every evening,the museum hires musicians every evening
4862.wav,We have often urged him to walk more and smoke less,we have often urged him to walk more and smoke less
4863.wav,peer,peer
4864.wav,papa,papa
4865.wav,pat,pat
4866.wav,share,share
4867.wav,goat,goat
4868.wav,warm,warm
4869.wav,bat,bat
4870.wav,sigh,sigh
4871.wav,The job provides many benefits,the job provides many benefits
4872.wav,mush,mush
4873.wav,cake,cake
4874.wav,oscar,oscar
4875.wav,single,single
4876.wav,delta,delta
4877.wav,pit,pit
4878.wav,group,group
4879.wav,yes,yes
4880.wav,cheer,cheer
4881.wav,hate,hate
4882.wav,side,side
4883.wav,ship,ship
4884.wav,city,city
4885.wav,thorn,thorn
4886.wav,left,left
4887.wav,read ,read 
4888.wav,ate,ate
4889.wav,Don't ask me to carry an oily rag like that,dont ask me to carry an oily rag like that
4890.wav,pot,pot
4891.wav,Will Robin wear a yellow lily,will robin wear a yellow lily
4892.wav,park,park
4893.wav,pit,pit
4894.wav,knitting,knitting
4895.wav,go,go
4896.wav,Just one side got wet,just one side got wet
4897.wav,All the big baseball players get traded,all the big baseball players get traded
4898.wav,A long flowing beard clings to his chin,a long flowing beard clings to his chin
4899.wav,corn,corn
4900.wav,tile,tile
4901.wav,lip,lip
4902.wav,bad,bad
4903.wav,him,him
4904.wav,Students watched as he got out,students watched as he got out
4905.wav,We rode horseback to the farm,we rode horseback to the farm
4906.wav,dark,dark
4907.wav,steer,steer
4908.wav,trait,trait
4909.wav,urgent,urgent
4910.wav,If you are losing water replace it immediately,if you are losing water replace it immediately
4911.wav,park,park
4912.wav,sitting,sitting
4913.wav,You wished to know all about my grandfather,you wished to know all about my grandfather
4914.wav,warm,warm
4915.wav,write,write
4916.wav,lick,lick
4917.wav,Well he is nearly ninetythree years old,well he is nearly ninetythree years old
4918.wav,leak,leak
4919.wav,darn,darn
4920.wav,sticks,sticks
4921.wav,seed,seed
4922.wav,If you destroy confidence in banks you do something to the economy he said,if you destroy confidence in banks you do something to the economy he said
4923.wav,She is thinner than I am,she is thinner than i am
4924.wav,train,train
4925.wav,suit,suit
4926.wav,feet,feet
4927.wav,galore,galore
4928.wav,droop,droop
4929.wav,sleep,sleep
4930.wav,hem,hem
4931.wav,trace,trace
4932.wav,form,form
4933.wav,Aluminum silverware can often be flimsy,aluminum silverware can often be flimsy
4934.wav,double,double
4935.wav,sell,sell
4936.wav,golf,golf
4937.wav,trouble,trouble
4938.wav,stick,stick
4939.wav,play,play
4940.wav,I feel I can play this weekend,i feel i can play this weekend
4941.wav,dark,dark
4942.wav,He further proposed grants of an unspecified sum for experimental hospitals,he further proposed grants of an unspecified sum for experimental hospitals
4943.wav,hum,hum
4944.wav,shoot,shoot
4945.wav,thigh,thigh
4946.wav,storm,storm
4947.wav,vat,vat
4948.wav,slay,slay
4949.wav,forward,forward
4950.wav,and,and
4951.wav,know,know
4952.wav,rain,rain
4953.wav,shear,shear
4954.wav,near,near
4955.wav,chair,chair
4956.wav,sigh,sigh
4957.wav,feed,feed
4958.wav,dug,dug
4959.wav,pretty,pretty
4960.wav,wish,wish
4961.wav,chop,chop
4962.wav,no,no
4963.wav,One validated acts of school districts,one validated acts of school districts
4964.wav,He wrapped the package hastily,he wrapped the package hastily
4965.wav,area,area
4966.wav,hat,hat
4967.wav,tell,tell
4968.wav,root,root
4969.wav,dagger,dagger
4970.wav,coupe,coupe
4971.wav,reek,reek
4972.wav,I was conscious all the time,i was conscious all the time
4973.wav,tie,tie
4974.wav,spark,spark
4975.wav,Both injuries were to the same leg,both injuries were to the same leg
4976.wav,feed,feed
4977.wav,bit,bit
4978.wav,rate,rate
4979.wav,farm,farm
4980.wav,down,down
4981.wav,five,five
4982.wav,charlie,charlie
4983.wav,weed,weed
4984.wav,born,born
4985.wav,at,at
4986.wav,fee,fee
4987.wav,It also provides for funds to clear slums and help colleges build dormitories,it also provides for funds to clear slums and help colleges build dormitories
4988.wav,much,much
4989.wav,I expect we'll bounce back this week,i expect well bounce back this week
4990.wav,jagged,jagged
4991.wav,swarm,swarm
4992.wav,mike,mike
4993.wav,thought,thought
4994.wav,shy,shy
4995.wav,meat,meat
4996.wav,menu,menu
4997.wav,know,know
4998.wav,horn,horn
4999.wav,ate,ate
5000.wav,explore,explore
5001.wav,Alimony harms a divorced man's wealth,alimony harms a divorced mans wealth
5002.wav,When all else fails use force,when all else fails use force
5003.wav,start,start
5004.wav,Swing your arm as high as you can,swing your arm as high as you can
5005.wav,deer,deer
5006.wav,barn,barn
5007.wav,The train approached the depot slowly,the train approached the depot slowly
5008.wav,A roll of wire lay near the wall,a roll of wire lay near the wall
5009.wav,Before Thursday's exam review every formula,before thursdays exam review every formula
5010.wav,mut,mut
5011.wav,sip,sip
5012.wav,air,air
5013.wav,bitten,bitten
5014.wav,league,league
5015.wav,You'd be better off taking a cold shower,youd be better off taking a cold shower
5016.wav,Everything went real smooth the sheriff said,everything went real smooth the sheriff said
5017.wav,top,top
5018.wav,hear,hear
5019.wav,When he speaks his voice is just a bit cracked and quivers a trifle,when he speaks his voice is just a bit cracked and quivers a trifle
5020.wav,mere,mere
5021.wav,sip,sip
5022.wav,the,the
5023.wav,slip,slip
5024.wav,I just try to do my best,i just try to do my best
5025.wav,yes,yes
5026.wav,rake,rake
5027.wav,torn,torn
5028.wav,Alfalfa is healthy for you,alfalfa is healthy for you
5029.wav,feet,feet
5030.wav,The books are very expensive,the books are very expensive
5031.wav,bear,bear
5032.wav,gadget,gadget
5033.wav,knew,knew
5034.wav,store,store
5035.wav,glow,glow
5036.wav,My sister made the flowered curtains,my sister made the flowered curtains
5037.wav,sip,sip
5038.wav,take,take
5039.wav,select,select
5040.wav,side,side
5041.wav,fat,fat
5042.wav,It eventually became a rather proud claim,it eventually became a rather proud claim
5043.wav,hitting,hitting
5044.wav,brought,brought
5045.wav,three,three
5046.wav,Where were you while we were away,where were you while we were away
5047.wav,suit,suit
5048.wav,sheet,sheet
5049.wav,four,four
5050.wav,Mother sews yellow gingham aprons,mother sews yellow gingham aprons
5051.wav,yet he still thinks as swiftly as ever,yet he still thinks as swiftly as ever
5052.wav,write,write
5053.wav,spit,spit
5054.wav,lair,lair
5055.wav,Both figures would go higher in later years,both figures would go higher in later years
5056.wav,She wore warm fleecy woolen overalls,she wore warm fleecy woolen overalls
5057.wav,written,written
5058.wav,alpha,alpha
5059.wav,leak,leak
5060.wav,of,of
5061.wav,The misguided souls have lost their way,the misguided souls have lost their way
5062.wav,right,right
5063.wav,Grandfather likes to be modern in his language,grandfather likes to be modern in his language
5064.wav,juliet,juliet
5065.wav,Nothing has been done yet to take advantage of the enabling legislation,nothing has been done yet to take advantage of the enabling legislation
5066.wav,knew,knew
5067.wav,foxtrot,foxtrot
5068.wav,Twice each day he plays skillfully and with zest upon our small organ,twice each day he plays skillfully and with zest upon our small organ
5069.wav,rave,rave
5070.wav,I have had my bell rung,i have had my bell rung
5071.wav,I scrubbed the floors thoroughly,i scrubbed the floors thoroughly
5072.wav,nine,nine
5073.wav,lima,lima
5074.wav,rich,rich
5075.wav,though,though
5076.wav,six,six
5077.wav,Carl lives in a lively home,carl lives in a lively home
5078.wav,hotel,hotel
5079.wav,knew,knew
5080.wav,chair,chair
5081.wav,knee,knee
5082.wav,sigh,sigh
5083.wav,floor,floor
5084.wav,at,at
5085.wav,back,back
5086.wav,slip,slip
5087.wav,loop,loop
5088.wav,The islands are sparsely populated,the islands are sparsely populated
5089.wav,he slowly takes a short walk in the open air each day,he slowly takes a short walk in the open air each day
5090.wav,bat,bat
5091.wav,much,much
5092.wav,jungle,jungle
5093.wav,lead ,lead 
5094.wav,kitten,kitten
5095.wav,You're used to being on the field,youre used to being on the field
5096.wav,It was a good win for us,it was a good win for us
5097.wav,Why yell or worry over silly items,why yell or worry over silly items
5098.wav,stubble,stubble
5099.wav,oscar,oscar
5100.wav,part,part
5101.wav,tip,tip
5102.wav,Nothing is offensive as innocense,nothing is offensive as innocense
5103.wav,This is not a program of socialized medicine,this is not a program of socialized medicine
5104.wav,pat,pat
5105.wav,echo,echo
5106.wav,hill,hill
5107.wav,quebec,quebec
5108.wav,mitten,mitten
5109.wav,witch,witch
5110.wav,prior,prior
5111.wav,sign,sign
5112.wav,pay,pay
5113.wav,The box contained three sweaters,the box contained three sweaters
5114.wav,Jane may earn more money by working hard,jane may earn more money by working hard
5115.wav,sway,sway
5116.wav,hair,hair
5117.wav,range,range
5118.wav,two,two
5119.wav,If you destroy confidence in banks you do something to the economy he said,if you destroy confidence in banks you do something to the economy he said
5120.wav,He will allow a rare lie,he will allow a rare lie
5121.wav,air,air
5122.wav,Bright sunshine shimmers on the ocean,bright sunshine shimmers on the ocean
5123.wav,eight,eight
5124.wav,race,race
5125.wav,fill,fill
5126.wav,beat,beat
5127.wav,him,him
5128.wav,dart,dart
5129.wav,heart,heart
5130.wav,There is a treehouse up above,there is a treehouse up above
5131.wav,zero,zero
5132.wav,trade,trade
5133.wav,bit,bit
5134.wav,Two other cases also were under advisement,two other cases also were under advisement
5135.wav,gnaw,gnaw
5136.wav,brawn,brawn
5137.wav,He further proposed grants of an unspecified sum for experimental hospitals,he further proposed grants of an unspecified sum for experimental hospitals
5138.wav,fruit,fruit
5139.wav,bug,bug
5140.wav,Nothing is as offensive as innocence,nothing is as offensive as innocence
5141.wav,This was easy for us,this was easy for us
5142.wav,here,here
5143.wav,This is a period of transition for me,this is a period of transition for me
5144.wav,seven,seven
5145.wav,knot,knot
5146.wav,pad,pad
5147.wav,whoop,whoop
5148.wav,white,white
5149.wav,but he always answers Banana oil,but he always answers banana oil
5150.wav,air,air
5151.wav,fat,fat
5152.wav,The little schoolhouse stood empty,the little schoolhouse stood empty
5153.wav,no,no
5154.wav,The quick brown fox jumps over the lazy dog,the quick brown fox jumps over the lazy dog
5155.wav,witty,witty
5156.wav,shy,shy
5157.wav,grow,grow
5158.wav,Day after day some new episode is reported,day after day some new episode is reported
5159.wav,bloat,bloat
5160.wav,spark,spark
5161.wav,vat,vat
5162.wav,light,light
5163.wav,sigh,sigh
5164.wav,park,park
5165.wav,peer,peer
5166.wav,When he speaks his voice is just a bit cracked and quivers a trifle,when he speaks his voice is just a bit cracked and quivers a trifle
5167.wav,start,start
5168.wav,sticks,sticks
5169.wav,tear ,tear 
5170.wav,fee,fee
5171.wav,lick,lick
5172.wav,thigh,thigh
5173.wav,yet he still thinks as swiftly as ever,yet he still thinks as swiftly as ever
5174.wav,slip,slip
5175.wav,stubble,stubble
5176.wav,him,him
5177.wav,tie,tie
5178.wav,bug,bug
5179.wav,prior,prior
5180.wav,written,written
5181.wav,ship,ship
5182.wav,ate,ate
5183.wav,thought,thought
5184.wav,He further proposed grants of an unspecified sum for experimental hospitals,he further proposed grants of an unspecified sum for experimental hospitals
5185.wav,jacket,jacket
5186.wav,If you are losing water replace it immediately,if you are losing water replace it immediately
5187.wav,blow,blow
5188.wav,he slowly takes a short walk in the open air each day,he slowly takes a short walk in the open air each day
5189.wav,side,side
5190.wav,here,here
5191.wav,weed,weed
5192.wav,bitten,bitten
5193.wav,usually minus several buttons,usually minus several buttons
5194.wav,pat,pat
5195.wav,Twice each day he plays skillfully and with zest upon our small organ,twice each day he plays skillfully and with zest upon our small organ
5196.wav,This was easy for us,this was easy for us
5197.wav,mush,mush
5198.wav,air,air
5199.wav,He wrapped the package hastily,he wrapped the package hastily
5200.wav,I was conscious all the time,i was conscious all the time
5201.wav,rich,rich
5202.wav,alpha,alpha
5203.wav,The museum hires musicians every evening,the museum hires musicians every evening
5204.wav,bubble,bubble
5205.wav,sip,sip
5206.wav,bat,bat
5207.wav,Grandfather likes to be modern in his language,grandfather likes to be modern in his language
5208.wav,Well he is nearly ninetythree years old,well he is nearly ninetythree years old
5209.wav,dark,dark
5210.wav,knew,knew
5211.wav,hear,hear
5212.wav,brought,brought
5213.wav,slip,slip
5214.wav,The job provides many benefits,the job provides many benefits
5215.wav,air,air
5216.wav,nine,nine
5217.wav,read ,read 
5218.wav,leak,leak
5219.wav,raid,raid
5220.wav,knot,knot
5221.wav,heart,heart
5222.wav,hat,hat
5223.wav,Night after night they received annoying phone calls,night after night they received annoying phone calls
5224.wav,I just try to do my best,i just try to do my best
5225.wav,It was a good win for us,it was a good win for us
5226.wav,lair,lair
5227.wav,warm,warm
5228.wav,six,six
5229.wav,rock,rock
5230.wav,papa,papa
5231.wav,no,no
5232.wav,juliet,juliet
5233.wav,spit,spit
5234.wav,If you destroy confidence in banks you do something to the economy he said,if you destroy confidence in banks you do something to the economy he said
5235.wav,fair,fair
5236.wav,We gathered shells on the beach,we gathered shells on the beach
5237.wav,pit,pit
5238.wav,know,know
5239.wav,pit,pit
5240.wav,golf,golf
5241.wav,sip,sip
5242.wav,thorn,thorn
5243.wav,sitting,sitting
5244.wav,briar,briar
5245.wav,Mother sews yellow gingham aprons,mother sews yellow gingham aprons
5246.wav,car,car
5247.wav,floor,floor
5248.wav,rake,rake
5249.wav,four,four
5250.wav,Nothing is as offensive as innocence,nothing is as offensive as innocence
5251.wav,corn,corn
5252.wav,yes,yes
5253.wav,bad,bad
5254.wav,It also provides for funds to clear slums and help colleges build dormitories,it also provides for funds to clear slums and help colleges build dormitories
5255.wav,She had your dark suit in greasy wash water all year,she had your dark suit in greasy wash water all year
5256.wav,Why yell or worry over silly items,why yell or worry over silly items
5257.wav,Except in the winter when the ooze or snow or ice prevents,except in the winter when the ooze or snow or ice prevents
5258.wav,brawn,brawn
5259.wav,witty,witty
5260.wav,sergeant,sergeant
5261.wav,urgent,urgent
5262.wav,Are your grades higher or lower than Nancy's,are your grades higher or lower than nancys
5263.wav,The islands are sparsely populated,the islands are sparsely populated
5264.wav,jungle,jungle
5265.wav,one,one
5266.wav,right,right
5267.wav,seven,seven
5268.wav,tip,tip
5269.wav,select,select
5270.wav,A long flowing beard clings to his chin,a long flowing beard clings to his chin
5271.wav,park,park
5272.wav,eight,eight
5273.wav,dark,dark
5274.wav,suit,suit
5275.wav,hum,hum
5276.wav,Two other cases also were under advisement,two other cases also were under advisement
5277.wav,know,know
5278.wav,fat,fat
5279.wav,air,air
5280.wav,The little schoolhouse stood empty,the little schoolhouse stood empty
5281.wav,droop,droop
5282.wav,form,form
5283.wav,Day after day some new episode is reported,day after day some new episode is reported
5284.wav,seeds,seeds
5285.wav,league,league
5286.wav,fat,fat
5287.wav,go,go
5288.wav,farm,farm
5289.wav,You're used to being on the field,youre used to being on the field
5290.wav,feet,feet
5291.wav,chair,chair
5292.wav,He will allow a rare lie,he will allow a rare lie
5293.wav,dart,dart
5294.wav,fear,fear
5295.wav,knew,knew
5296.wav,three,three
5297.wav,hark,hark
5298.wav,One validated acts of school districts,one validated acts of school districts
5299.wav,hitting,hitting
5300.wav,white,white
5301.wav,torn,torn
5302.wav,five,five
5303.wav,rage,rage
5304.wav,sheet,sheet
5305.wav,pitting,pitting
5306.wav,range,range
5307.wav,mike,mike
5308.wav,My sister made the flowered curtains,my sister made the flowered curtains
5309.wav,feet,feet
5310.wav,darn,darn
5311.wav,leak,leak
5312.wav,I expect we'll bounce back this week,i expect well bounce back this week
5313.wav,sprinkle,sprinkle
5314.wav,oscar,oscar
5315.wav,The misguided souls have lost their way,the misguided souls have lost their way
5316.wav,stick,stick
5317.wav,The humidity is overwhelming there,the humidity is overwhelming there
5318.wav,much,much
5319.wav,pad,pad
5320.wav,trace,trace
5321.wav,witch,witch
5322.wav,him,him
5323.wav,area,area
5324.wav,It also provides for funds to clear slums and help colleges build dormitories,it also provides for funds to clear slums and help colleges build dormitories
5325.wav,lead ,lead 
5326.wav,toot,toot
5327.wav,bit,bit
5328.wav,pretty,pretty
5329.wav,fill,fill
5330.wav,I looked up and noticed two old men,i looked up and noticed two old men
5331.wav,write,write
5332.wav,root,root
5333.wav,jagged,jagged
5334.wav,read ,read 
5335.wav,fitting,fitting
5336.wav,loop,loop
5337.wav,play,play
5338.wav,spark,spark
5339.wav,hill,hill
5340.wav,city,city
5341.wav,side,side
5342.wav,Swing your arm as high as you can,swing your arm as high as you can
5343.wav,deer,deer
5344.wav,part,part
5345.wav,When all else fails use force,when all else fails use force
5346.wav,Alfalfa is healthy for you,alfalfa is healthy for you
5347.wav,tell,tell
5348.wav,snoop,snoop
5349.wav,The dolphins swam around our boat,the dolphins swam around our boat
5350.wav,leak,leak
5351.wav,swarm,swarm
5352.wav,share,share
5353.wav,no,no
5354.wav,fate,fate
5355.wav,pot,pot
5356.wav,Don't ask me to carry an oily rag like that,dont ask me to carry an oily rag like that
5357.wav,tile,tile
5358.wav,This is a period of transition for me,this is a period of transition for me
5359.wav,The books are very expensive,the books are very expensive
5360.wav,error,error
5361.wav,kilo,kilo
5362.wav,explore,explore
5363.wav,Jane may earn more money by working hard,jane may earn more money by working hard
5364.wav,loyal,loyal
5365.wav,The quick brown fox jumps over the lazy dog,the quick brown fox jumps over the lazy dog
5366.wav,down,down
5367.wav,reek,reek
5368.wav,bloat,bloat
5369.wav,You wished to know all about my grandfather,you wished to know all about my grandfather
5370.wav,beta,beta
5371.wav,spain,spain
5372.wav,Where were you while we were away,where were you while we were away
5373.wav,meat,meat
5374.wav,sigh,sigh
5375.wav,quebec,quebec
5376.wav,suit,suit
5377.wav,foxtrot,foxtrot
5378.wav,Before Thursday's exam review every formula,before thursdays exam review every formula
5379.wav,sell,sell
5380.wav,All the big baseball players get traded,all the big baseball players get traded
5381.wav,five,five
5382.wav,zero,zero
5383.wav,warm,warm
5384.wav,horn,horn
5385.wav,shy,shy
5386.wav,kitten,kitten
5387.wav,train,train
5388.wav,group,group
5389.wav,ate,ate
5390.wav,cart,cart
5391.wav,swarm,swarm
5392.wav,It eventually became a rather proud claim,it eventually became a rather proud claim
5393.wav,feed,feed
5394.wav,fruit,fruit
5395.wav,I tried to tell people in the community,i tried to tell people in the community
5396.wav,and,and
5397.wav,troop,troop
5398.wav,Bright sunshine shimmers on the ocean,bright sunshine shimmers on the ocean
5399.wav,pat,pat
5400.wav,sign,sign
5401.wav,storm,storm
5402.wav,knew,knew
5403.wav,mitten,mitten
5404.wav,glow,glow
5405.wav,beat,beat
5406.wav,hem,hem
5407.wav,though,though
5408.wav,double,double
